Date,Open,High,Low,Close,Volume,RSI,SmoothedMA
2023-04-13,161.630005,165.800003,161.419998,165.559998,164,52.88038267994428,148.55392830102048
2023-04-14,164.589996,166.320007,163.820007,165.210007,164,60.858886286027214,148.75811247448988
2023-04-17,165.089996,165.389999,164.029999,165.229996,164,65.17741435151865,148.93841827551026
2023-04-18,166.100006,167.410004,165.649994,166.470001,165,67.056720917826,149.17183669387762
2023-04-19,165.800003,168.160004,165.539993,167.630005,166,64.0118051241051,149.44311250510214
2023-04-20,166.089996,167.869995,165.559998,166.649994,165,63.234573521591294,149.6093875255103
2023-04-21,165.050003,166.449997,164.490005,165.020004,164,54.76839081142534,149.63734696938786
2023-04-24,165.000000,165.600006,163.889999,165.330002,164,46.9267918446999,149.68683683163275
2023-04-25,165.190002,166.309998,163.729996,163.770004,163,49.18830343965964,149.6291839591838
2023-04-26,163.059998,165.279999,162.800003,163.759995,163,50.02754267546175,149.5803059591838
2023-04-27,165.190002,168.559998,165.190002,168.410004,167,47.39580503108081,149.8635714591838
2023-04-28,168.490005,169.850006,167.880005,169.679993,168,66.52851978309411,150.21841780612257
2023-05-01,169.279999,170.449997,168.639999,169.589996,168,72.9575963410927,150.52780521428585
2023-05-02,170.089996,170.350006,167.539993,168.539993,167,75.33368691972045,150.7173455051022
2023-05-03,169.500000,170.919998,167.160004,167.449997,166,60.405015561110936,150.78596778061242
2023-05-04,164.889999,167.039993,164.309998,165.789993,165,57.43688677780701,150.72637548979608
2023-05-05,170.979996,174.300003,170.759995,173.570007,172,51.676636419384856,151.21953937244913
2023-05-08,172.479996,173.850006,172.110001,173.500000,172,65.27538571176913,151.6651516785716
2023-05-09,173.050003,173.539993,171.600006,171.770004,171,63.25053809194343,151.95132550000017
2023-05-10,173.020004,174.029999,171.899994,173.559998,172,61.17905625368726,152.3442335918369
2023-05-11,173.850006,174.589996,172.169998,173.750000,173,68.51688815106532,152.71545813265325
2023-05-12,173.619995,174.059998,171.000000,172.570007,172,68.35220443157455,152.95785666326546
2023-05-15,173.160004,173.210007,171.470001,172.070007,171,69.5035415094841,153.12760210714302
2023-05-16,171.990005,173.139999,171.800003,172.070007,171,68.02605327096693,153.25500059693894
2023-05-17,171.710007,172.929993,170.419998,172.690002,172,59.945663028712836,153.38428642346955
2023-05-18,173.000000,175.240005,172.580002,175.050003,174,58.4788981138649,153.66030702551035
2023-05-19,176.389999,176.389999,174.940002,175.160004,174,63.63637771319236,153.9167868316328
2023-05-22,173.979996,174.710007,173.449997,174.199997,173,67.34803448406163,154.07627630102056
2023-05-23,173.130005,173.380005,171.279999,171.559998,171,67.8100132274309,154.0183168418369
2023-05-24,171.089996,172.419998,170.520004,171.839996,171,64.47567083386667,153.95938784693894
